Метод дихотомии для первой функции
n;a; b; (b - a) / 2; c; d; F(c); F(d)
1;-10;10;10;-1e-06;1e-06;404.368;404.369
2;-10;0;5;-5;-5;7.89845;7.89843
3;-5;0;2.5;-2.5;-2.5;95.9566;95.9568
4;-5;-2.5;1.25;-3.75;-3.75;24.3833;24.3834
5;-5;-3.75;0.625;-4.375;-4.375;9.25483;9.25486
6;-5;-4.375;0.3125;-4.6875;-4.6875;6.85513;6.85513
7;-5;-4.6875;0.15625;-4.84375;-4.84375;6.94641;6.9464
8;-4.84375;-4.6875;0.078125;-4.76563;-4.76562;6.79317;6.79317
9;-4.76562;-4.6875;0.0390625;-4.72656;-4.72656;6.79725;6.79725
10;-4.76562;-4.72656;0.0195312;-4.74609;-4.74609;6.78849;6.78849
11;-4.76562;-4.74609;0.00976562;-4.75586;-4.75586;6.78915;6.78915
12;-4.75586;-4.74609;0.00488281;-4.75098;-4.75098;6.7884;6.7884
13;-4.75098;-4.74609;0.00244141;-4.74854;-4.74853;6.78834;6.78834
14;-4.75098;-4.74854;0.0012207;-4.74976;-4.74975;6.78834;6.78834
15;-4.74976;-4.74854;0.000610352;-4.74915;-4.74914;6.78833;6.78833
16;-4.74915;-4.74854;0.000305176;-4.74884;-4.74884;6.78833;6.78833
17;-4.74915;-4.74884;0.000152588;-4.74899;-4.74899;6.78833;6.78833
18;-4.74915;-4.74899;7.62939e-05;-4.74907;-4.74907;6.78833;6.78833
19;-4.74907;-4.74899;3.8147e-05;-4.74903;-4.74903;6.78833;6.78833
20;-4.74907;-4.74903;1.90735e-05;-4.74905;-4.74905;6.78833;6.78833
21;-4.74907;-4.74905;9.53674e-06;-4.74906;-4.74906;6.78833;6.78833
22;-4.74906;-4.74905;4.76837e-06;-4.74906;-4.74905;6.78833;6.78833
23;-4.74906;-4.74905;2.38419e-06;-4.74906;-4.74906;6.78833;6.78833
24;-4.74906;-4.74905;1.19209e-06;-4.74906;-4.74906;6.78833;6.78833
25;-4.74906;-4.74905;5.96046e-07;-4.74906;-4.74905;6.78833;6.78833

Метод золотого сечения для первой функции
n;a; b; (b - a) / 2; c; d; F(c); F(d)
1;-10;10;10;2.36068;-2.36068;897.869;107.346
2;-10;2.36068;6.18034;-2.36068;-5.27864;107.346;11.7324
3;-10;-2.36068;3.81966;-5.27864;-7.08204;11.7324;102.736
4;-7.08204;-2.36068;2.36068;-4.16408;-5.27864;12.8207;11.7324
5;-7.08204;-4.16408;1.45898;-5.27864;-5.96748;11.7324;32.9584
6;-5.96748;-4.16408;0.901699;-4.85292;-5.27864;6.97849;11.7324
7;-5.27864;-4.16408;0.557281;-4.5898;-4.85292;7.23541;6.97849
8;-5.27864;-4.5898;0.344419;-4.85292;-5.01553;6.97849;8.04007
9;-5.01553;-4.5898;0.212862;-4.75242;-4.85292;6.78853;6.97849
10;-4.85292;-4.5898;0.131556;-4.6903;-4.75242;6.84918;6.78853
11;-4.85292;-4.6903;0.0813062;-4.75242;-4.7908;6.78853;6.81906
